G,F,P,category,type,sector,score,classification,desc
2,5,2,Qualité,Commercial,Agriculture,20,Faible,
3,5,4,Qualité,Financier,Agriculture,60,Eleve,
1,4,2,Qualité,Technique,PME,8,Faible,
5,1,4,Qualité,Financier,Startup,20,Faible,
1,5,4,Qualité,Commercial,Agriculture,20,Faible,
5,3,2,Industriel,Technique,PME,30,Moyen,
2,5,1,Qualité,Technique,Startup,10,Faible,
1,2,2,Projet/Programme,Cyber & SSI,Mobilité et Transport,4,Faible,
5,2,4,Projet/Programme,Financier,Startup,40,Moyen,
5,4,4,Projet/Programme,Cyber & SSI,Mobilité et Transport,80,Eleve,
5,5,5,Qualité,Cyber & SSI,Innovation,125,Eleve,
5,4,2,Industriel,Financier,PME,40,Moyen,
4,2,2,Industriel,Financier,Innovation,16,Faible,
5,4,2,Projet/Programme,Technique,Technologie,40,Moyen,
4,2,2,Projet/Programme,Commercial,TPE,16,Faible,
5,4,4,Projet/Programme,Commercial,Mobilité et Transport,80,Eleve,
2,5,4,Industriel,Commercial,Innovation,40,Moyen,
4,4,5,Projet/Programme,Commercial,PME,80,Eleve,
4,1,4,Industriel,Commercial,Innovation,16,Faible,
5,3,2,Qualité,Commercial,Agriculture,30,Moyen,
1,4,5,Industriel,Cyber & SSI,Technologie,20,Faible,
4,1,1,Industriel,Technique,Startup,4,Faible,
4,4,1,Qualité,Financier,Mobilité et Transport,16,Faible,
3,5,1,Projet/Programme,Commercial,Innovation,15,Faible,
4,2,4,Qualité,Financier,TPE,32,Moyen,
4,5,1,Qualité,Technique,Agriculture,20,Faible,
5,1,4,Qualité,Cyber & SSI,Technologie,20,Faible,
3,4,4,Qualité,Commercial,Startup,48,Moyen,
4,5,4,Qualité,Technique,Agriculture,80,Eleve,
5,3,5,Qualité,Cyber & SSI,TPE,75,Eleve,
4,4,4,Industriel,Cyber & SSI,Mobilité et Transport,64,Eleve,
4,5,2,Industriel,Financier,Mobilité et Transport,40,Moyen,
2,1,4,Qualité,Technique,Startup,8,Faible,
4,2,5,Projet/Programme,Financier,Innovation,40,Moyen,
4,4,4,Qualité,Cyber & SSI,TPE,64,Eleve,
2,2,2,Industriel,Financier,Technologie,8,Faible,
5,4,4,Qualité,Cyber & SSI,Innovation,80,Eleve,
4,3,3,Industriel,Cyber & SSI,Mobilité et Transport,36,Moyen,
3,4,4,Projet/Programme,Technique,Mobilité et Transport,48,Moyen,
5,5,2,Qualité,Commercial,Startup,50,Moyen,
4,4,5,Projet/Programme,Financier,ETI,80,Eleve,
4,3,3,Industriel,Cyber & SSI,Mobilité et Transport,36,Moyen,
3,5,3,Projet/Programme,Financier,Innovation,45,Moyen,
2,1,5,Qualité,Cyber & SSI,TPE,10,Faible,
3,1,2,Projet/Programme,Technique,Startup,6,Faible,
4,5,5,Qualité,Commercial,Startup,100,Eleve,
5,2,3,Industriel,Commercial,Agriculture,30,Moyen,
5,5,4,Projet/Programme,Financier,Mobilité et Transport,100,Eleve,
4,2,5,Industriel,Technique,TPE,40,Moyen,
2,4,4,Projet/Programme,Commercial,Mobilité et Transport,32,Moyen,
5,1,5,Qualité,Cyber & SSI,Agriculture,25,Faible,
4,4,1,Projet/Programme,Commercial,Innovation,16,Faible,
2,5,2,Qualité,Technique,ETI,20,Faible,
4,5,1,Projet/Programme,Technique,Agriculture,20,Faible,
4,4,5,Projet/Programme,Cyber & SSI,Technologie,80,Eleve,
2,5,4,Qualité,Financier,Mobilité et Transport,40,Moyen,
5,2,5,Industriel,Cyber & SSI,TPE,50,Moyen,
5,4,4,Industriel,Technique,Mobilité et Transport,80,Eleve,
1,5,4,Projet/Programme,Commercial,Technologie,20,Faible,
5,4,3,Industriel,Technique,Agriculture,60,Eleve,
4,5,1,Qualité,Commercial,Agriculture,20,Faible,
5,4,3,Projet/Programme,Financier,Mobilité et Transport,60,Eleve,
1,4,1,Industriel,Technique,Mobilité et Transport,4,Faible,
4,3,4,Qualité,Financier,Technologie,48,Moyen,
1,4,2,Qualité,Commercial,Agriculture,8,Faible,
1,3,2,Industriel,Cyber & SSI,Agriculture,6,Faible,
5,4,5,Industriel,Cyber & SSI,PME,100,Eleve,
2,2,4,Projet/Programme,Commercial,Technologie,16,Faible,
4,4,3,Qualité,Technique,TPE,48,Moyen,
4,4,4,Industriel,Cyber & SSI,Innovation,64,Eleve,
4,4,3,Industriel,Financier,Startup,48,Moyen,
5,4,5,Projet/Programme,Commercial,Agriculture,100,Eleve,
4,2,2,Industriel,Cyber & SSI,Startup,16,Faible,
2,5,1,Qualité,Commercial,PME,10,Faible,
5,4,2,Projet/Programme,Cyber & SSI,Mobilité et Transport,40,Moyen,
5,4,4,Industriel,Financier,PME,80,Eleve,
4,5,2,Industriel,Commercial,PME,40,Moyen,
1,1,5,Industriel,Commercial,ETI,5,Faible,
5,1,3,Industriel,Cyber & SSI,Startup,15,Faible,
4,5,1,Projet/Programme,Cyber & SSI,Agriculture,20,Faible,
5,4,3,Qualité,Cyber & SSI,PME,60,Eleve,
2,4,2,Qualité,Technique,ETI,16,Faible,
1,1,4,Industriel,Commercial,Mobilité et Transport,4,Faible,
4,4,1,Projet/Programme,Financier,Startup,16,Faible,
1,5,4,Industriel,Commercial,Agriculture,20,Faible,
4,4,3,Industriel,Technique,ETI,48,Moyen,
1,3,1,Industriel,Commercial,ETI,3,Faible,
2,1,2,Qualité,Financier,Startup,4,Faible,
2,2,5,Projet/Programme,Financier,TPE,20,Faible,
3,1,3,Qualité,Cyber & SSI,Startup,9,Faible,
4,5,2,Projet/Programme,Commercial,Startup,40,Moyen,
4,5,4,Qualité,Technique,Innovation,80,Eleve,
2,2,5,Industriel,Financier,PME,20,Faible,
5,4,2,Projet/Programme,Commercial,Technologie,40,Moyen,
2,5,4,Projet/Programme,Cyber & SSI,Mobilité et Transport,40,Moyen,
4,5,5,Industriel,Financier,PME,100,Eleve,
4,4,2,Qualité,Technique,Technologie,32,Moyen,
4,3,5,Industriel,Financier,Innovation,60,Eleve,
5,5,1,Projet/Programme,Technique,TPE,25,Faible,
1,1,4,Projet/Programme,Commercial,TPE,4,Faible,
4,2,2,Industriel,Commercial,Technologie,16,Faible,
1,4,5,Qualité,Cyber & SSI,Technologie,20,Faible,
4,2,5,Projet/Programme,Technique,TPE,40,Moyen,
5,5,1,Industriel,Technique,Startup,25,Faible,
2,4,4,Projet/Programme,Financier,TPE,32,Moyen,
5,5,2,Qualité,Commercial,Mobilité et Transport,50,Moyen,
3,5,5,Qualité,Cyber & SSI,ETI,75,Eleve,
4,1,4,Qualité,Financier,Agriculture,16,Faible,
2,5,4,Qualité,Commercial,TPE,40,Moyen,
4,5,5,Qualité,Cyber & SSI,PME,100,Eleve,
4,4,5,Qualité,Cyber & SSI,PME,80,Eleve,
5,5,5,Industriel,Commercial,Startup,125,Eleve,
1,4,5,Qualité,Technique,Agriculture,20,Faible,
4,4,1,Qualité,Commercial,ETI,16,Faible,
4,5,4,Qualité,Commercial,PME,80,Eleve,
5,1,2,Projet/Programme,Cyber & SSI,Innovation,10,Faible,
2,5,3,Qualité,Commercial,TPE,30,Moyen,
4,4,1,Projet/Programme,Cyber & SSI,TPE,16,Faible,
2,4,4,Projet/Programme,Technique,ETI,32,Moyen,
1,1,4,Projet/Programme,Financier,TPE,4,Faible,
2,4,4,Projet/Programme,Commercial,Innovation,32,Moyen,
5,2,1,Qualité,Financier,PME,10,Faible,
5,2,5,Projet/Programme,Cyber & SSI,PME,50,Moyen,
5,4,5,Industriel,Technique,Innovation,100,Eleve,
4,3,4,Qualité,Financier,Technologie,48,Moyen,
5,5,4,Industriel,Cyber & SSI,Startup,100,Eleve,
4,4,1,Industriel,Technique,ETI,16,Faible,
4,5,3,Projet/Programme,Commercial,Mobilité et Transport,60,Eleve,
5,4,2,Projet/Programme,Commercial,Startup,40,Moyen,
1,4,1,Projet/Programme,Technique,Technologie,4,Faible,
4,2,4,Industriel,Technique,TPE,32,Moyen,
4,1,4,Projet/Programme,Financier,PME,16,Faible,
4,5,5,Qualité,Cyber & SSI,TPE,100,Eleve,
4,5,3,Projet/Programme,Financier,ETI,60,Eleve,
4,4,1,Industriel,Financier,PME,16,Faible,
2,4,5,Projet/Programme,Cyber & SSI,TPE,40,Moyen,
5,1,4,Industriel,Technique,Startup,20,Faible,
5,2,4,Projet/Programme,Financier,Innovation,40,Moyen,
1,4,5,Industriel,Financier,ETI,20,Faible,
4,3,4,Qualité,Technique,Technologie,48,Moyen,
4,5,4,Industriel,Cyber & SSI,Innovation,80,Eleve,
4,5,1,Industriel,Cyber & SSI,Agriculture,20,Faible,
5,5,5,Qualité,Cyber & SSI,PME,125,Eleve,
2,5,1,Projet/Programme,Cyber & SSI,PME,10,Faible,
1,4,4,Projet/Programme,Technique,Mobilité et Transport,16,Faible,
5,3,2,Qualité,Technique,TPE,30,Moyen,
4,5,4,Industriel,Financier,Technologie,80,Eleve,
5,4,1,Projet/Programme,Technique,ETI,20,Faible,
5,5,5,Industriel,Cyber & SSI,Startup,125,Eleve,
5,2,2,Qualité,Commercial,PME,20,Faible,
4,5,2,Projet/Programme,Technique,Technologie,40,Moyen,
5,5,4,Projet/Programme,Technique,Technologie,100,Eleve,
4,4,3,Qualité,Cyber & SSI,Mobilité et Transport,48,Moyen,
2,4,4,Qualité,Cyber & SSI,PME,32,Moyen,
4,4,1,Qualité,Commercial,Startup,16,Faible,
1,4,4,Qualité,Commercial,Technologie,16,Faible,
4,3,2,Industriel,Technique,Mobilité et Transport,24,Faible,
3,3,5,Projet/Programme,Financier,ETI,45,Moyen,
4,4,5,Industriel,Cyber & SSI,Mobilité et Transport,80,Eleve,
2,4,4,Qualité,Cyber & SSI,TPE,32,Moyen,
2,4,5,Projet/Programme,Commercial,Agriculture,40,Moyen,
4,4,4,Qualité,Financier,TPE,64,Eleve,
4,5,2,Industriel,Technique,PME,40,Moyen,
2,5,1,Qualité,Commercial,Agriculture,10,Faible,
2,5,2,Industriel,Technique,PME,20,Faible,
3,1,2,Industriel,Financier,Startup,6,Faible,
5,5,4,Projet/Programme,Technique,PME,100,Eleve,
2,3,4,Projet/Programme,Financier,TPE,24,Faible,
4,4,5,Industriel,Financier,TPE,80,Eleve,
4,4,4,Projet/Programme,Technique,Mobilité et Transport,64,Eleve,
2,5,2,Qualité,Cyber & SSI,Innovation,20,Faible,
5,2,1,Projet/Programme,Technique,Mobilité et Transport,10,Faible,
4,1,5,Industriel,Financier,PME,20,Faible,
5,3,2,Qualité,Cyber & SSI,Startup,30,Moyen,
1,4,4,Qualité,Commercial,Startup,16,Faible,
4,1,4,Projet/Programme,Cyber & SSI,PME,16,Faible,
3,5,3,Qualité,Technique,Technologie,45,Moyen,
4,3,4,Projet/Programme,Cyber & SSI,Innovation,48,Moyen,
4,4,2,Qualité,Cyber & SSI,Agriculture,32,Moyen,
5,3,4,Qualité,Financier,Technologie,60,Eleve,
4,4,2,Industriel,Commercial,Technologie,32,Moyen,
4,1,2,Industriel,Commercial,Technologie,8,Faible,
1,4,2,Projet/Programme,Commercial,Agriculture,8,Faible,
5,4,3,Industriel,Technique,PME,60,Eleve,
1,4,4,Qualité,Financier,Agriculture,16,Faible,
2,4,1,Qualité,Technique,ETI,8,Faible,
2,5,1,Qualité,Cyber & SSI,TPE,10,Faible,
4,3,5,Projet/Programme,Financier,Agriculture,60,Eleve,
1,3,4,Qualité,Cyber & SSI,ETI,12,Faible,
4,3,4,Projet/Programme,Technique,Startup,48,Moyen,
4,4,1,Industriel,Commercial,PME,16,Faible,
2,5,3,Qualité,Cyber & SSI,Innovation,30,Moyen,
4,3,2,Industriel,Cyber & SSI,Agriculture,24,Faible,
3,1,1,Projet/Programme,Technique,Agriculture,3,Faible,
3,5,4,Qualité,Cyber & SSI,Agriculture,60,Eleve,
5,4,1,Projet/Programme,Cyber & SSI,Agriculture,20,Faible,
4,2,1,Projet/Programme,Commercial,TPE,8,Faible,
4,4,2,Qualité,Technique,PME,32,Moyen,
2,4,4,Projet/Programme,Commercial,Agriculture,32,Moyen,
4,3,4,Projet/Programme,Financier,TPE,48,Moyen,
3,1,3,Qualité,Financier,ETI,9,Faible,
5,4,3,Projet/Programme,Technique,Startup,60,Eleve,
5,4,3,Projet/Programme,Financier,Technologie,60,Eleve,
5,5,2,Industriel,Cyber & SSI,Agriculture,50,Moyen,
5,2,4,Projet/Programme,Financier,Mobilité et Transport,40,Moyen,
4,1,2,Industriel,Financier,TPE,8,Faible,
2,1,4,Qualité,Commercial,Startup,8,Faible,
5,2,5,Qualité,Financier,Agriculture,50,Moyen,
4,4,4,Industriel,Cyber & SSI,Agriculture,64,Eleve,
2,2,2,Projet/Programme,Commercial,Innovation,8,Faible,
4,2,5,Industriel,Financier,Mobilité et Transport,40,Moyen,
4,5,1,Industriel,Cyber & SSI,Mobilité et Transport,20,Faible,
4,2,2,Industriel,Commercial,Agriculture,16,Faible,
4,4,3,Qualité,Commercial,Agriculture,48,Moyen,
5,4,4,Projet/Programme,Technique,Agriculture,80,Eleve,
2,4,4,Qualité,Technique,Technologie,32,Moyen,
5,4,3,Projet/Programme,Financier,Technologie,60,Eleve,
5,4,5,Qualité,Financier,TPE,100,Eleve,
4,5,5,Industriel,Cyber & SSI,Technologie,100,Eleve,
1,1,3,Projet/Programme,Cyber & SSI,Agriculture,3,Faible,
1,3,1,Qualité,Technique,Technologie,3,Faible,
3,4,3,Qualité,Cyber & SSI,ETI,36,Moyen,
5,2,4,Projet/Programme,Commercial,Startup,40,Moyen,
2,3,3,Industriel,Technique,Startup,18,Faible,
5,1,4,Industriel,Cyber & SSI,ETI,20,Faible,
4,5,1,Projet/Programme,Technique,Mobilité et Transport,20,Faible,
4,2,2,Projet/Programme,Technique,Agriculture,16,Faible,
4,4,5,Projet/Programme,Cyber & SSI,Agriculture,80,Eleve,
5,5,1,Industriel,Commercial,Technologie,25,Faible,
1,4,5,Qualité,Commercial,Agriculture,20,Faible,
2,4,5,Industriel,Commercial,TPE,40,Moyen,
1,1,2,Projet/Programme,Commercial,Innovation,2,Faible,
5,1,5,Industriel,Commercial,Mobilité et Transport,25,Faible,
4,5,4,Projet/Programme,Financier,Startup,80,Eleve,
2,3,1,Qualité,Technique,ETI,6,Faible,
5,1,3,Projet/Programme,Cyber & SSI,TPE,15,Faible,
1,5,2,Projet/Programme,Financier,TPE,10,Faible,
1,4,5,Projet/Programme,Commercial,Startup,20,Faible,
2,4,2,Qualité,Commercial,Mobilité et Transport,16,Faible,
2,4,5,Qualité,Commercial,Startup,40,Moyen,
2,1,1,Projet/Programme,Technique,ETI,2,Faible,
4,3,2,Projet/Programme,Financier,Technologie,24,Faible,
4,4,2,Qualité,Technique,ETI,32,Moyen,
3,2,5,Qualité,Cyber & SSI,ETI,30,Moyen,
4,4,4,Industriel,Commercial,Agriculture,64,Eleve,
5,1,4,Industriel,Commercial,TPE,20,Faible,
3,1,4,Projet/Programme,Commercial,TPE,12,Faible,
5,4,3,Industriel,Technique,Technologie,60,Eleve,
4,5,4,Industriel,Technique,ETI,80,Eleve,
5,4,1,Projet/Programme,Cyber & SSI,TPE,20,Faible,
4,4,4,Projet/Programme,Technique,Startup,64,Eleve,
1,2,1,Projet/Programme,Financier,ETI,2,Faible,
1,4,2,Projet/Programme,Technique,Agriculture,8,Faible,
2,2,1,Projet/Programme,Commercial,Startup,4,Faible,
1,1,3,Qualité,Commercial,PME,3,Faible,
5,2,4,Industriel,Financier,Agriculture,40,Moyen,
4,1,2,Qualité,Financier,Startup,8,Faible,
4,1,1,Qualité,Commercial,Mobilité et Transport,4,Faible,
3,5,1,Projet/Programme,Cyber & SSI,ETI,15,Faible,
4,4,5,Qualité,Financier,Agriculture,80,Eleve,
2,3,4,Qualité,Commercial,ETI,24,Faible,
2,4,1,Industriel,Technique,TPE,8,Faible,
3,5,2,Projet/Programme,Technique,Technologie,30,Moyen,
2,5,5,Projet/Programme,Technique,Technologie,50,Moyen,
1,1,4,Industriel,Commercial,Mobilité et Transport,4,Faible,
5,4,1,Projet/Programme,Cyber & SSI,Technologie,20,Faible,
5,3,1,Industriel,Financier,ETI,15,Faible,
3,5,4,Projet/Programme,Financier,ETI,60,Eleve,
4,4,4,Projet/Programme,Technique,PME,64,Eleve,
4,4,2,Industriel,Cyber & SSI,Innovation,32,Moyen,
5,5,5,Industriel,Cyber & SSI,ETI,125,Eleve,
4,4,1,Industriel,Cyber & SSI,Mobilité et Transport,16,Faible,
3,5,2,Projet/Programme,Cyber & SSI,Mobilité et Transport,30,Moyen,
5,2,1,Industriel,Commercial,Agriculture,10,Faible,
2,4,4,Industriel,Commercial,PME,32,Moyen,
4,1,4,Qualité,Cyber & SSI,TPE,16,Faible,
5,5,4,Projet/Programme,Cyber & SSI,TPE,100,Eleve,
3,3,5,Industriel,Financier,Technologie,45,Moyen,
1,5,4,Industriel,Commercial,Agriculture,20,Faible,
4,4,4,Industriel,Financier,Innovation,64,Eleve,
1,4,5,Qualité,Financier,Mobilité et Transport,20,Faible,
4,4,4,Qualité,Technique,Agriculture,64,Eleve,
3,4,2,Projet/Programme,Cyber & SSI,Technologie,24,Faible,
2,4,1,Projet/Programme,Commercial,ETI,8,Faible,
3,4,4,Projet/Programme,Technique,Agriculture,48,Moyen,
5,4,4,Projet/Programme,Cyber & SSI,Innovation,80,Eleve,
4,1,4,Projet/Programme,Financier,Agriculture,16,Faible,
5,3,5,Industriel,Financier,Mobilité et Transport,75,Eleve,
5,2,2,Industriel,Financier,Startup,20,Faible,
5,4,4,Qualité,Cyber & SSI,Technologie,80,Eleve,
4,4,5,Projet/Programme,Financier,Agriculture,80,Eleve,
5,3,2,Industriel,Commercial,Startup,30,Moyen,
4,5,4,Industriel,Financier,Innovation,80,Eleve,
5,5,1,Qualité,Technique,Startup,25,Faible,
2,4,5,Industriel,Cyber & SSI,ETI,40,Moyen,
4,3,4,Projet/Programme,Financier,Mobilité et Transport,48,Moyen,
5,3,1,Industriel,Financier,Innovation,15,Faible,
4,5,5,Projet/Programme,Cyber & SSI,Agriculture,100,Eleve,
2,2,2,Projet/Programme,Commercial,Technologie,8,Faible,
3,4,4,Qualité,Commercial,Agriculture,48,Moyen,
2,2,2,Qualité,Commercial,TPE,8,Faible,
4,4,2,Projet/Programme,Financier,Technologie,32,Moyen,
5,5,4,Industriel,Technique,Startup,100,Eleve,
4,4,4,Projet/Programme,Commercial,Agriculture,64,Eleve,
4,5,1,Qualité,Technique,Innovation,20,Faible,
3,1,4,Industriel,Financier,TPE,12,Faible,
4,1,1,Industriel,Technique,Startup,4,Faible,
3,1,2,Qualité,Cyber & SSI,ETI,6,Faible,
4,5,1,Qualité,Technique,Innovation,20,Faible,
4,4,2,Projet/Programme,Financier,Mobilité et Transport,32,Moyen,
1,4,4,Projet/Programme,Financier,ETI,16,Faible,
4,4,2,Industriel,Commercial,Technologie,32,Moyen,
3,1,3,Projet/Programme,Technique,TPE,9,Faible,
4,1,1,Industriel,Financier,Innovation,4,Faible,
3,3,5,Projet/Programme,Financier,Technologie,45,Moyen,
4,4,4,Industriel,Cyber & SSI,ETI,64,Eleve,
3,3,4,Qualité,Technique,TPE,36,Moyen,
2,5,3,Projet/Programme,Commercial,Startup,30,Moyen,
3,4,2,Qualité,Technique,Technologie,24,Faible,
5,1,5,Industriel,Financier,Technologie,25,Faible,
2,4,4,Projet/Programme,Commercial,Mobilité et Transport,32,Moyen,
5,2,1,Industriel,Commercial,Technologie,10,Faible,
1,1,3,Projet/Programme,Financier,Innovation,3,Faible,
2,3,5,Projet/Programme,Cyber & SSI,Innovation,30,Moyen,
2,3,1,Projet/Programme,Commercial,Mobilité et Transport,6,Faible,
3,4,4,Qualité,Technique,Agriculture,48,Moyen,
2,4,2,Industriel,Commercial,Mobilité et Transport,16,Faible,
1,3,4,Qualité,Commercial,PME,12,Faible,
2,1,5,Projet/Programme,Financier,Innovation,10,Faible,
1,5,4,Projet/Programme,Commercial,Startup,20,Faible,
4,5,4,Projet/Programme,Cyber & SSI,Agriculture,80,Eleve,
5,4,5,Industriel,Financier,Agriculture,100,Eleve,
1,5,5,Qualité,Technique,TPE,25,Faible,
5,3,2,Industriel,Commercial,TPE,30,Moyen,
4,3,1,Qualité,Commercial,Startup,12,Faible,
4,1,2,Projet/Programme,Commercial,Startup,8,Faible,
4,2,4,Industriel,Commercial,Agriculture,32,Moyen,
4,2,4,Qualité,Cyber & SSI,Technologie,32,Moyen,
4,5,2,Qualité,Technique,PME,40,Moyen,
4,2,5,Projet/Programme,Cyber & SSI,Mobilité et Transport,40,Moyen,
2,1,3,Projet/Programme,Technique,Startup,6,Faible,
5,4,5,Industriel,Commercial,Agriculture,100,Eleve,
3,1,2,Qualité,Technique,Technologie,6,Faible,
4,5,3,Industriel,Commercial,ETI,60,Eleve,
4,1,3,Industriel,Cyber & SSI,Startup,12,Faible,
5,4,5,Industriel,Technique,TPE,100,Eleve,
3,4,2,Qualité,Technique,PME,24,Faible,
5,1,3,Qualité,Commercial,Innovation,15,Faible,
5,4,2,Projet/Programme,Commercial,TPE,40,Moyen,
4,5,4,Qualité,Cyber & SSI,Mobilité et Transport,80,Eleve,
5,2,4,Projet/Programme,Cyber & SSI,PME,40,Moyen,
2,4,1,Qualité,Commercial,Startup,8,Faible,
2,1,1,Projet/Programme,Cyber & SSI,Startup,2,Faible,
5,4,4,Projet/Programme,Commercial,Agriculture,80,Eleve,
1,4,2,Projet/Programme,Cyber & SSI,PME,8,Faible,
5,3,4,Industriel,Financier,Technologie,60,Eleve,
2,4,2,Industriel,Technique,Startup,16,Faible,
3,5,4,Qualité,Technique,Technologie,60,Eleve,
5,2,3,Industriel,Technique,Startup,30,Moyen,
2,5,4,Qualité,Technique,TPE,40,Moyen,
4,4,4,Projet/Programme,Technique,PME,64,Eleve,
4,3,4,Industriel,Financier,Agriculture,48,Moyen,
5,5,5,Industriel,Cyber & SSI,Mobilité et Transport,125,Eleve,
4,2,1,Projet/Programme,Financier,PME,8,Faible,
3,4,5,Industriel,Commercial,Technologie,60,Eleve,
1,5,1,Qualité,Financier,PME,5,Faible,
3,3,1,Industriel,Financier,PME,9,Faible,
4,2,4,Industriel,Cyber & SSI,Agriculture,32,Moyen,
3,5,3,Industriel,Technique,Technologie,45,Moyen,
5,3,1,Qualité,Cyber & SSI,PME,15,Faible,
2,5,4,Qualité,Financier,TPE,40,Moyen,
4,2,5,Qualité,Technique,Innovation,40,Moyen,
4,2,5,Projet/Programme,Financier,Innovation,40,Moyen,
4,2,1,Industriel,Cyber & SSI,Mobilité et Transport,8,Faible,
3,4,5,Projet/Programme,Cyber & SSI,PME,60,Eleve,
1,4,4,Projet/Programme,Commercial,TPE,16,Faible,
1,4,2,Qualité,Commercial,PME,8,Faible,
5,5,4,Projet/Programme,Technique,Mobilité et Transport,100,Eleve,
5,2,1,Projet/Programme,Financier,Mobilité et Transport,10,Faible,
5,3,5,Qualité,Cyber & SSI,PME,75,Eleve,
5,1,4,Industriel,Cyber & SSI,PME,20,Faible,
4,4,2,Projet/Programme,Technique,TPE,32,Moyen,
5,3,1,Qualité,Financier,TPE,15,Faible,
5,4,2,Projet/Programme,Technique,PME,40,Moyen,
2,5,4,Projet/Programme,Cyber & SSI,Agriculture,40,Moyen,
2,4,4,Projet/Programme,Technique,Startup,32,Moyen,
5,4,4,Projet/Programme,Cyber & SSI,Mobilité et Transport,80,Eleve,
5,5,1,Industriel,Commercial,Mobilité et Transport,25,Faible,
4,4,4,Industriel,Cyber & SSI,Mobilité et Transport,64,Eleve,
2,2,3,Industriel,Commercial,Startup,12,Faible,
4,1,4,Industriel,Cyber & SSI,Mobilité et Transport,16,Faible,
